timestamp_ms,value
1702327237785,5374
1702327237813,5334
1702327237837,5310
1702327237869,5358
1702327237892,5438
1702327237921,5614
1702327237942,5630
1702327237966,5786
1702327237984,5822
1702327238015,5918
1702327238050,6014
1702327238074,6046
1702327238095,6062
1702327238113,6102
1702327238137,6078
1702327238156,6078
1702327238177,6078
1702327238200,6062
1702327238224,6038
1702327238250,6014
1702327238285,5950
1702327238308,5918
1702327238329,5886
1702327238348,5870
1702327238372,5806
1702327238390,5802
1702327238411,5758
1702327238435,5726
1702327238458,5710
1702327238477,5694
1702327238509,5678
1702327238532,5630
1702327238551,5630
1702327238573,5598
1702327238596,5566
1702327238619,5550
1702327238651,5502
1702327238669,5502
1702327238693,5470
1702327238712,5454
1702327238744,5438
1702327238768,5438
1702327238787,5422
1702327238818,5374
1702327238841,5358
1702327238865,5342
1702327238883,5342
1702327238913,5310
1702327238937,5310
1702327238961,5302
1702327239003,5270
1702327239022,5270
1702327239049,5238
1702327239074,5278
1702327239098,5374
1702327239121,5462
1702327239153,5550
1702327239171,5558
1702327239195,5598
1702327239226,5630
1702327239261,5718
1702327239279,5742
1702327239301,5790
1702327239325,5814
1702327239343,5814
1702327239375,5822
1702327239399,5822
1702327239418,5846
1702327239441,5854
1702327239473,5854
1702327239507,5870
1702327239529,5878
1702327239547,5886
1702327239571,5870
1702327239589,5870
1702327239621,5838
1702327239644,5822
1702327239663,5814
1702327239694,5782
1702327239718,5758
1702327239752,5694
1702327239775,5694
1702327239793,5662
1702327239817,5598
1702327239836,5590
1702327239857,5550
1702327239881,5502
1702327239899,5502
1702327239923,5494
1702327239951,5502
1702327239986,5550
1702327240018,5550
1702327240041,5550
1702327240060,5550
1702327240084,5518
1702327240112,5502
1702327240136,5566
1702327240159,5630
1702327240191,5758
1702327240209,5802
1702327240244,5918
1702327240272,5950
1702327240296,6014
1702327240320,6094
1702327240351,6190
1702327240370,6206
1702327240393,6270
1702327240415,6294
1702327240434,6302
1702327240457,6302
1702327240491,6294
1702327240509,6270
1702327240533,6270
1702327240552,6270
1702327240573,6270
1702327240597,6262
1702327240616,6254
1702327240639,6254
1702327240671,6206
1702327240695,6198
1702327240733,6142
1702327240756,6110
1702327240780,6062
1702327240812,6014
1702327240830,6014
1702327240854,5974
1702327240873,5950
1702327240894,5934
1702327240918,5878
1702327240937,5870
1702327240979,5774
1702327241003,5742
1702327241022,5726
1702327241053,5678
1702327241077,5614
1702327241101,5590
1702327241119,5566
1702327241152,5502
1702327241175,5462
1702327241194,5438
1702327241226,5342
1702327241250,5246
1702327241269,5214
1702327241300,5118
1702327241324,5110
1702327241343,5118
1702327241374,5214
1702327241398,5326
1702327241422,5374
1702327241440,5406
1702327241472,5422
1702327241496,5398
1702327241515,5374
1702327241536,5374
1702327241560,5366
1702327241578,5358
1702327241603,5302
1702327241634,5238
1702327241663,5206
1702327241689,5166
1702327241719,5150
1702327241742,5150
1702327241761,5118
1702327241791,5118
1702327241815,5118
1702327241847,5110
1702327241871,5086
1702327241889,5086
1702327241913,5046
1702327241941,5038
1702327241976,4974
1702327242000,4942
1702327242031,4910
1702327242050,4894
1702327242074,4862
1702327242095,4862
1702327242114,4846
1702327242138,4830
1702327242157,4822
1702327242178,4814
1702327242213,4782
1702327242232,4766
1702327242253,4734
1702327242277,4718
1702327242296,4714
1702327242320,4670
1702327242352,4694
1702327242370,4734
1702327242394,4886
1702327242416,4942
1702327242446,5070
1702327242470,5166
1702327242491,5198
1702327242510,5246
1702327242534,5302
1702327242553,5326
1702327242574,5358
1702327242598,5406
1702327242617,5422
1702327242640,5430
1702327242684,5422
1702327242702,5430
1702327242734,5438
1702327242758,5438
1702327242777,5438
1702327242801,5422
1702327242833,5422
1702327242852,5406
1702327242876,5374
1702327242908,5366
1702327242937,5342
1702327242962,5310
1702327242994,5278
1702327243013,5278
1702327243036,5246
1702327243068,5206
1702327243087,5182
1702327243111,5166
1702327243132,5118
1702327243151,5118
1702327243186,5054
1702327243207,5054
1702327243226,5022
1702327243250,4990
1702327243269,4958
1702327243301,4926
1702327243325,4902
1702327243344,4886
1702327243369,4830
1702327243387,4814
1702327243422,4758
1702327243454,4782
1702327243473,4822
1702327243492,4894
1702327243515,5038
1702327243535,5070
1702327243559,5174
1702327243578,5206
1702327243602,5246
1702327243631,5302
1702327243666,5374
1702327243698,5438
1702327243722,5438
1702327243751,5470
1702327243772,5470
1702327243796,5454
1702327243815,5454
1702327243839,5438
1702327243870,5438
1702327243889,5438
1702327243927,5406
1702327243952,5374
1702327243976,5358
1702327244008,5334
1702327244037,5310
1702327244061,5278
1702327244088,5246
1702327244123,5230
1702327244147,5198
1702327244178,5174
1702327244219,5150
1702327244243,5102
1702327244273,5078
1702327244297,5038
1702327244329,5022
1702327244353,4974
1702327244381,4922
1702327244408,4894
1702327244433,4846
1702327244457,4798
1702327244499,4734
1702327244523,4750
1702327244542,4782
1702327244568,4942
1702327244594,5086
1702327244617,5246
1702327244649,5342
1702327244673,5438
1702327244692,5470
1702327244716,5566
1702327244759,5662
1702327244778,5690
1702327244810,5718
1702327244834,5726
1702327244863,5726
1702327244895,5742
1702327244919,5742
1702327244938,5726
1702327244962,5694
1702327244994,5662
1702327245034,5594
1702327245066,5534
1702327245091,5486
1702327245109,5462
1702327245141,5398
1702327245165,5358
1702327245184,5342
1702327245215,5294
1702327245239,5246
1702327245258,5246
1702327245301,5166
1702327245325,5118
1702327245344,5110
1702327245376,5038
1702327245400,4990
1702327245419,4974
1702327245444,4926
1702327245476,4942
1702327245505,5054
1702327245536,5182
1702327245571,5294
1702327245590,5310
1702327245612,5358
1702327245636,5422
1702327245665,5470
1702327245696,5534
1702327245721,5558
1702327245740,5558
1702327245763,5566
1702327245791,5558
1702327245826,5566
1702327245858,5594
1702327245888,5598
1702327245911,5598
1702327245933,5598
1702327245962,5598
1702327245986,5614
1702327246018,5598
1702327246042,5598
1702327246061,5582
1702327246095,5550
1702327246114,5526
1702327246139,5502
1702327246158,5494
1702327246189,5470
1702327246213,5454
1702327246242,5430
1702327246272,5406
1702327246297,5374
1702327246328,5358
1702327246363,5294
1702327246393,5274
1702327246424,5310
1702327246448,5374
1702327246468,5430
1702327246499,5558
1702327246523,5598
1702327246542,5630
1702327246573,5694
1702327246597,5726
1702327246628,5758
1702327246659,5822
1702327246684,5822
1702327246703,5838
1702327246735,5822
1702327246764,5822
1702327246788,5846
1702327246820,5870
1702327246844,5870
1702327246863,5878
1702327246906,5870
1702327246930,5870
1702327246959,5854
1702327246991,5846
1702327247015,5822
1702327247034,5822
1702327247066,5790
1702327247090,5758
1702327247109,5758
1702327247141,5694
1702327247182,5662
1702327247214,5630
1702327247238,5566
1702327247267,5534
1702327247294,5486
1702327247323,5422
1702327247347,5374
1702327247369,5374
1702327247398,5310
1702327247422,5278
1702327247459,5246
1702327247484,5198
1702327247513,5182
1702327247540,5210
1702327247569,5326
1702327247593,5406
1702327247620,5430
1702327247644,5534
1702327247668,5566
1702327247700,5598
1702327247740,5630
1702327247767,5686
1702327247792,5686
1702327247816,5662
1702327247848,5630
1702327247867,5622
1702327247891,5622
1702327247911,5614
1702327247932,5614
1702327247956,5598
1702327247987,5598
1702327248020,5582
1702327248039,5566
1702327248063,5534
1702327248082,5526
1702327248108,5470
1702327248134,5438
1702327248158,5422
1702327248190,5374
1702327248219,5342
1702327248262,5294
1702327248286,5262
1702327248306,5246
1702327248337,5198
1702327248362,5166
1702327248381,5158
1702327248413,5110
1702327248437,5070
1702327248456,5054
1702327248481,5022
1702327248523,4974
1702327248543,4958
1702327248575,4910
1702327248604,4886
1702327248628,4846
1702327248660,4862
1702327248684,4926
1702327248703,4958
1702327248735,5118
1702327248764,5166
1702327248800,5214
1702327248833,5238
1702327248852,5262
1702327248877,5278
1702327248909,5294
1702327248938,5278
1702327248962,5278
1702327248993,5294
1702327249013,5278
1702327249037,5306
1702327249080,5310
1702327249099,5294
1702327249131,5270
1702327249155,5230
1702327249185,5206
1702327249207,5182
1702327249226,5166
1702327249250,5118
1702327249269,5102
1702327249291,5086
1702327249326,5038
1702327249355,4990
1702327249388,4974
1702327249417,4942
1702327249441,4910
1702327249471,4862
1702327249495,4846
1702327249514,4830
1702327249536,4798
1702327249560,4734
1702327249591,4718
1702327249613,4670
1702327249642,4606
1702327249666,4566
1702327249688,4542
1702327249707,4542
1702327249732,4574
1702327249751,4606
1702327249773,4702
1702327249802,4822
1702327249837,4910
1702327249869,4958
1702327249889,4974
1702327249913,5046
1702327249944,5086
1702327249973,5118
1702327249997,5118
1702327250030,5118
1702327250059,5118
1702327250091,5118
1702327250126,5118
1702327250155,5118
1702327250188,5118
1702327250213,5086
1702327250232,5086
1702327250254,5070
1702327250283,5054
1702327250307,5022
1702327250340,4982
1702327250369,4974
1702327250394,4950
1702327250426,4894
1702327250445,4862
1702327250469,4798
1702327250492,4782
1702327250511,4758
1702327250540,4686
1702327250572,4638
1702327250597,4598
1702327250616,4590
1702327250660,4518
1702327250683,4478
1702327250703,4470
1702327250735,4414
1702327250764,4378
1702327250789,4318
1702327250821,4286
1702327250850,4286
1702327250874,4366
1702327250907,4510
1702327250937,4590
1702327250962,4670
1702327250994,4694
1702327251013,4698
1702327251042,4734
1702327251069,4766
1702327251099,4790
1702327251126,4782
1702327251161,4766
1702327251185,4734
1702327251228,4726
1702327251247,4726
1702327251272,4718
1702327251294,4718
1702327251323,4702
1702327251353,4670
1702327251385,4654
1702327251409,4638
1702327251439,4606
1702327251460,4590
1702327251496,4558
1702327251528,4542
1702327251548,4526
1702327251577,4494
1702327251602,4470
1702327251632,4446
1702327251651,4438
1702327251687,4406
1702327251717,4374
1702327251741,4342
1702327251774,4318
1702327251793,4302
1702327251818,4270
1702327251850,4254
1702327251880,4270
1702327251909,4342
1702327251941,4478
1702327251966,4606
1702327251995,4662
1702327252027,4718
1702327252062,4782
1702327252082,4798
1702327252104,4854
1702327252133,4862
1702327252158,4862
1702327252190,4862
1702327252219,4894
1702327252251,4910
1702327252275,4942
1702327252305,4958
1702327252339,4974
1702327252364,4974
1702327252393,4958
1702327252425,4926
1702327252445,4926
1702327252469,4910
1702327252492,4902
1702327252511,4862
1702327252530,4846
1702327252555,4822
1702327252598,4758
1702327252617,4734
1702327252649,4718
1702327252679,4702
1702327252704,4670
1702327252726,4662
1702327252754,4630
1702327252779,4606
1702327252798,4590
1702327252820,4566
1702327252861,4494
1702327252893,4462
1702327252918,4478
1702327252947,4590
1702327252969,4638
1702327252994,4782
1702327253013,4830
1702327253045,4906
1702327253069,4982
1702327253099,5038
1702327253132,5102
1702327253152,5150
1702327253182,5198
1702327253214,5214
1702327253239,5230
1702327253258,5214
1702327253282,5230
1702327253311,5230
1702327253335,5230
1702327253354,5246
1702327253388,5238
1702327253417,5230
1702327253442,5214
1702327253471,5214
1702327253495,5182
1702327253515,5166
1702327253537,5118
1702327253561,5102
1702327253580,5086
1702327253608,5034
1702327253633,4990
1702327253658,4958
1702327253696,4926
1702327253720,4894
1702327253740,4886
1702327253767,4846
1702327253792,4814
1702327253816,4782
1702327253835,4778
1702327253858,4766
1702327253899,4718
1702327253931,4686
1702327253955,4654
1702327253975,4638
1702327253999,4606
1702327254031,4606
1702327254051,4630
1702327254081,4734
1702327254103,4830
1702327254127,4990
1702327254158,5046
1702327254190,5118
1702327254210,5166
1702327254234,5214
1702327254266,5246
1702327254285,5294
1702327254315,5302
1702327254348,5278
1702327254372,5278
1702327254392,5270
1702327254425,5294
1702327254455,5294
1702327254479,5294
1702327254511,5278
1702327254531,5278
1702327254555,5262
1702327254588,5230
1702327254607,5214
1702327254627,5198
1702327254659,5150
1702327254694,5118
1702327254714,5110
1702327254746,5070
1702327254776,5038
1702327254801,5022
1702327254833,4974
1702327254852,4974
1702327254882,4926
1702327254904,4894
1702327254928,4862
1702327254959,4846
1702327254990,4822
1702327255014,4798
1702327255034,4790
1702327255056,4790
1702327255076,4822
1702327255101,4926
1702327255120,4990
1702327255150,5118
1702327255174,5198
1702327255213,5246
1702327255238,5310
1702327255268,5342
1702327255290,5358
1702327255315,5374
1702327255334,5374
1702327255366,5374
1702327255386,5374
1702327255411,5358
1702327255431,5374
1702327255464,5374
1702327255483,5374
1702327255513,5358
